Nome;Unidade | Conversão;20;Nível 0;Nível 1;Nível 2;Nível 3;Nível 4;Nível 5;Nível 6
NT-proBNP (<50 anos);pg/mL | 1 pg/mL = 0.118 pmol/L;20;>1800;450 a 1800;300 a 449;125 a 299;50 a 124;<50;
NT-proBNP (50-75 anos);pg/mL | 1 pg/mL = 0.118 pmol/L;20;>2000;900 a 2000;450 a 899;250 a 449;75 a 249;<75;
NT-proBNP (>75 anos);pg/mL | 1 pg/mL = 0.118 pmol/L;20;>4000;1800 a 4000;900 a 1799;500 a 899;125 a 499;<125;
PCR ultrassensível (hs-CRP);mg/L | 1 mg/L = 0.1 mg/dL;20;≥10.0;3.0 a 9.99;2.0 a 2.99;1.0 a 1.99;0.5 a 0.99;<0.5;
Colesterol Total;mg/dL | 1 mg/dL = 0.02586 mmol/L;20;<120;≥280;120 a 159;250 a 279;160 a 199;200 a 249;
HDL Colesterol;mg/dL | 1 mg/dL = 0.02586 mmol/L;20;<30;≥90;30 a 39;80 a 89;40 a 49;50 a 79;
LDL Colesterol;mg/dL | 1 mg/dL = 0.02586 mmol/L;20;≥190;160 a 189;130 a 159;100 a 129;70 a 99;<70;
VLDL Colesterol;mg/dL | 1 mg/dL = 0.02586 mmol/L;20;≥40;30 a 39;20 a 29;<20;;
Triglicerídeos;mg/dL | 1 mg/dL = 0.01129 mmol/L;20;≥500;200 a 499;150 a 199;100 a 149;70 a 99;<70;
Relação Colesterol Total/HDL;ratio | razão;20;>5.0;4.0 a 5.0;3.5 a 4.0;3.0 a 3.5;<3.0;;
Relação Triglicerídeos/HDL;ratio | razão;20;>3.0;2.0 a 3.0;1.5 a 2.0;1.0 a 1.5;<1.0;;
Colesterol não-HDL;mg/dL | 1 mg/dL = 0.02586 mmol/L;20;≥220;190 a 219;160 a 189;130 a 159;100 a 129;<100;
Potássio;mEq/L | 1 mEq/L = 1 mmol/L;20;<2.5;>6.0;2.5 a 3.4;5.1 a 6.0;3.5 a 3.9;4.0 a 4.9;
PTH (Paratormônio);pg/mL | 1 pg/mL = 0.106 pmol/L;20;<10;>65;10 a 14;56 a 65;15 a 17;46 a 55;18 a 45
Progesterona - Mulheres Fase Folicular;ng/mL | 1 ng/mL = 3.18 nmol/L;20;>2.0;1.0 a 2.0;<0.1;0.1 a 0.7;;
Progesterona - Mulheres Fase Lútea;ng/mL | 1 ng/mL = 3.18 nmol/L;20;<3.0;>30.0;3.0 a 5.0;25.0 a 30.0;5.0 a 10.0;10.0 a 25.0;
Progesterona - Mulheres Gestação 1º Trimestre;ng/mL | 1 ng/mL = 3.18 nmol/L;20;<5.0;5.0 a 10.0;10.0 a 15.0;15.0 a 60.0;;
Progesterona - Mulheres Gestação 2º Trimestre;ng/mL | 1 ng/mL = 3.18 nmol/L;20;<17.0;17.0 a 25.0;25.0 a 146.0;;;
Progesterona - Mulheres Gestação 3º Trimestre;ng/mL | 1 ng/mL = 3.18 nmol/L;20;<55.0;55.0 a 80.0;80.0 a 250.0;;;
Progesterona - Mulheres Pós-Menopausa;ng/mL | 1 ng/mL = 3.18 nmol/L;20;>1.3;0.5 a 1.3;0.2 a 0.5;<0.2;;
Progesterona - Homens;ng/mL | 1 ng/mL = 3.18 nmol/L;20;>1.6;1.0 a 1.6;0.5 a 1.0;<0.5;;
Prolactina - Mulheres;ng/mL | 1 ng/mL = 21.2 mIU/L = 1 µg/L;20;<3.0;>250.0;3.0 a 5.0;100.0 a 250.0;5.0 a 7.0;50.0 a 100.0;25.0 a 50.0;7.0 a 25.0
Prolactina - Homens;ng/mL | 1 ng/mL = 21.2 mIU/L = 1 µg/L;20;<2.0;>250.0;2.0 a 5.0;100.0 a 250.0;50.0 a 100.0;20.0 a 50.0;15.0 a 20.0;5.0 a 15.0
PSA Total;ng/mL | 1 ng/mL = 1 µg/L;20;>10.0;4.0 a 10.0;2.5 a 4.0;1.0 a 2.5;<1.0;;
PSA Livre/Total (%Free PSA);% | percentual;20;<10;>25;10 a 15;15 a 25;;;
