Nome;Unidade | Conversão;20;Nível 0;Nível 1;Nível 2;Nível 3;Nível 4;Nível 5;Nível 6
Gama GT;U/L | 1 U/L = 1 IU/L = 0.0167 µkat/L;20;>50;36 a 50;26 a 35;18 a 25;10 a 17;;
pH Venoso;unidade | 1 unidade = 1 pH;20;<7.25;>7.50;7.25 a 7.29;7.45 a 7.50;7.30 a 7.34;7.35 a 7.44;
pCO2 Venoso;mmHg | 1 mmHg = 0.133 kPa;20;<30;>65;30 a 34;56 a 65;35 a 37;48 a 55;38 a 47
pO2 Venoso;mmHg | 1 mmHg = 0.133 kPa;20;<25;25 a 29;30 a 34;35 a 39;40 a 50;;
HCO3 (Bicarbonato);mEq/L | 1 mEq/L = 1 mmol/L;20;<18;>32;18 a 21;28 a 32;22 a 23;24 a 27;
Base Excess (BE);mEq/L | 1 mEq/L = 1 mmol/L;20;<-10;>+6;-10 a -6;+3 a +6;-5 a -3;-2 a +2;
SatO2 Venosa;% | percentual;20;<60;>90;60 a 64;85 a 90;65 a 69;70 a 84;
Gliadina Deaminada IgA (DGP-IgA);U/mL | 1 U/mL;20;>100;31 a 100;15 a 30;<15;;;
Hemoglobina Glicada (HbA1c);% | 1% = 10.93 mmol/mol - 23.5;20;≥6.5;5.7 a 6.4;4.0 a 4.7;5.4 a 5.6;4.8 a 5.3;;
Hemoglobina - Homens;g/dL | 1 g/dL = 10 g/L;20;<12.0;>17.0;12.0 a 13.4;16.1 a 17.0;13.5 a 13.9;15.1 a 16.0;14.0 a 15.0
Hemoglobina - Mulheres;g/dL | 1 g/dL = 10 g/L;20;<12.0;>16.0;12.0 a 12.9;15.1 a 16.0;13.0 a 13.4;14.6 a 15.0;13.5 a 14.5
Hematócrito - Homens;% | percentual;20;<37.0;>52.0;37.0 a 39.9;48.1 a 52.0;40.0 a 42.0;45.1 a 48.0;42.1 a 45.0
Hematócrito - Mulheres;% | percentual;20;<35.0;>44.0;35.0 a 36.9;42.1 a 44.0;37.0 a 38.0;40.1 a 42.0;38.1 a 40.0
Hemácias - Homens;M/µL | 1 M/µL = 10^12/L;20;<3.8;>6.0;3.8 a 4.1;5.5 a 6.0;4.2 a 4.3;5.0 a 5.4;4.4 a 4.9
Hemácias - Mulheres;M/µL | 1 M/µL = 10^12/L;20;<3.5;>5.4;3.5 a 3.7;5.1 a 5.4;3.8 a 3.9;4.6 a 5.0;4.0 a 4.5
VCM (MCV);fL | femtoliters;20;<70;>110;70 a 74;100 a 110;75 a 79;97 a 99;80 a 84;92 a 96;85 a 91
HCM (MCH);pg | picogramas;20;<25;>33;25 a 26;32.1 a 33;27.0 a 27.9;28 a 32;;
CHCM (MCHC);g/dL | 1 g/dL = 10 g/L;20;<31.5;>36.5;31.5 a 32.9;33.0 a 34.5;34.6 a 36.0;;;
RDW;% | coeficiente de variação;20;≥15.0;14.5 a 15.0;14.0 a 14.4;13.5 a 13.9;13.1 a 13.4;11.5 a 13.0;
Leucócitos Totais (WBC);k/µL | 1 k/µL = 10^9/L;20;<3.5;>10.0;7.6 a 10.0;6.6 a 7.5;5.7 a 6.5;3.8 a 5.6;
Neutrófilos (absoluto);k/µL | 1 k/µL = 10^9/L;20;<1.50;>5.50;4.21 a 5.50;3.51 a 4.20;2.81 a 3.50;1.90 a 2.80;
Relação Neutrófilos/Linfócitos (NLR);ratio | razão;20;>4.00;3.40 a 4.00;2.61 a 3.39;2.01 a 2.60;1.0 a 2.0;;
Linfócitos (absoluto);k/µL | 1 k/µL = 10^9/L;20;<1.0;>4.8;1.0 a 1.1;4.1 a 4.8;1.2 a 1.4;3.1 a 4.0;1.5 a 3.0
Linfócitos (percentual);% | percentual;20;<15;>45;15 a 19;41 a 45;20 a 24;36 a 40;25 a 35
Monócitos (absoluto);k/µL | 1 k/µL = 10^9/L;20;>0.80;0.61 a 0.80;0.41 a 0.60;0.2 a 0.4;;;
Relação Monócitos/Linfócitos (MLR);ratio | razão;20;>0.35;0.26 a 0.35;0.21 a 0.25;0.10 a 0.20;;;
Eosinófilos (absoluto);células/µL | 1 célula/µL;20;>500;401 a 500;201 a 400;50 a 200;;;
Basófilos (absoluto);células/µL | 1 célula/µL;20;>200;101 a 200;51 a 100;10 a 50;;;
Plaquetas;k/µL | 1 k/µL = 10^9/L;20;<80;>450;80 a 99;401 a 450;100 a 149;351 a 400;150 a 199;301 a 350;200 a 300
VPM (MPV);fL | femtoliters;20;>10.0;9.1 a 10.0;8.6 a 9.0;7.0 a 8.5;;;
Hepatite B - Anti-Hbs;mIU/mL | 1 mIU/mL;20;<5;5 a 10;10 a 100;>100;;;
Homocisteína;µmol/L | 1 µmol/L = 0.135 mg/L;20;>15;12 a 15;10 a 11.9;7.3 a 9.9;5 a 7.2;;

